0.koord.;  X:0; Y:0; Z:0
1.koord.;  X:0; Y:0; Z:0
2.koord.;  X:300; Y:0; Z:0
3.koord.;  X:600; Y:0; Z:0
4.koord.;  X:0; Y:0; Z:200
5.koord.;  X:600; Y:0; Z:200
6.koord.;  X:0; Y:0; Z:400
7.koord.;  X:300; Y:0; Z:0
8.koord.;  X:600; Y:0; Z:400
9.koord.;  X:50; Y:250; Z:25
10.koord.;  X:150; Y:250; Z:25
11.koord.;  X:450; Y:250; Z:25
12.koord.;  X:550; Y:250; Z:25
13.koord.;  X:50; Y:250; Z:100
14.koord.;  X:550; Y:250; Z:100
15.koord.;  X:50; Y:250; Z:300
16.koord.;  X:550; Y:250; Z:300
17.koord.;  X:50; Y:250; Z:375
18.koord.;  X:150; Y:250; Z:375
19.koord.;  X:450; Y:250; Z:375
20.koord.;  X:550; Y:250; Z:375
21.koord.;  X:100; Y:500; Z:50
22.koord.;  X:200; Y:500; Z:50
23.koord.;  X:300; Y:500; Z:50
24.koord.;  X:400; Y:500; Z:50
25.koord.;  X:500; Y:500; Z:50
26.koord.;  X:100; Y:500; Z:125
27.koord.;  X:500; Y:500; Z:125
28.koord.;  X:100; Y:500; Z:200
29.koord.;  X:500; Y:500; Z:200
30.koord.;  X:100; Y:500; Z:275
31.koord.;  X:500; Y:500; Z:275
32.koord.;  X:100; Y:500; Z:350
33.koord.;  X:200; Y:500; Z:350
34.koord.;  X:300; Y:500; Z:350
35.koord.;  X:400; Y:500; Z:350
36.koord.;  X:500; Y:500; Z:350
